name,color
108017__erocshadow__cough,#00007f
146873__tgfcoder__male-sick-cough,#0000a8
152995__nmb910__cough,#0000d1
155650__poorenglishjuggler__cough,#0000fa
157296__husky70__coughing-cough,#0010ff
17167__lg__cough01,#0034ff
19023__danglada__cough,#0058ff
204604__pikachu09__cough,#007cff
208761__harris85__cough,#00a0ff
21314__zippi1__sound-cough2,#00c4ff
218306__splicesound__woman-female-coughing-sniffing,#05ecf1
251489__aderumoro__cough-young-lady,#22ffd4
266019__joedeshon__double-cough-01,#3fffb7
348364__frostyfrost__cough,#5cff9a
365704__mc-minnaar__woman-coughing,#79ff7d
369295__georgisound__coughing,#96ff5f
371360__goldkelchen__cough,#b3ff42
41385__sandyrb__db-cough-001,#d0ff25
51136__rutgermuller__coughing-young-man-me,#edff08
52323__stephsinger22__coughing,#ffda00
53663__crispy527__cough,#ffb900
58792__syna-max__cough,#ff9800
63679__sagetyrtle__1125coughing,#ff7600
84695__cmusounddesign__cough,#ff5500
87021__robinhood76__01435-man-caugh-3,#ff3400
87412__bowlingballout__woman-cough,#fe1200
cough - 1,#d50000
cough - 2,#ac0000
cough - 3,#7f0000
